Change component parameters: Designator = "C1" ("C1"); Footprint = "WCAP-ATUL 6.3x11x2.5x0.5_90deg"; UniqueID = "\ABPMJXIT" ("\ABPMJXIT")
Add component (AddParameter): Name = "ValueReserve4"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ValueTKE"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ValueTolerance"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ValueTU"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ValueType"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ValueType_TU"; Value = "Конденсаторы  "; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ValueValue"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ValueVoltage"; Value = ""; VariantName = "[No Variations]"
Added Component: Designator=C?(WCAP-ATUL 6.3x11x2.5x0.5_90deg)
Add component (AddParameter): Name = "ValueDescription"; Value = "Конденсатор полярный"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ValueManufacturer"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ValueManufacturerPartNumber"; Value = " "" - "; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ValueNote"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ValuePackage"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ValueReserve1"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ValueReserve2"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ValueReserve3"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ValueReserve4"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ValueTKE"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ValueTolerance"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ValueTU"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ValueType"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ValueType_TU"; Value = "Конденсаторы  "; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ValueValue"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ValueVoltage"; Value = ""; VariantName = "[No Variations]"
Added Component: Designator=DD2(SOIC127PX1032X265-28N)
Add component (AddParameter): Name = "Digi-Key_Part_Number"; Value = "IR2136SPBF-ND"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Digi-Key_Purchase_URL"; Value = "https://www.digikey.com/product-detail/en/infineon-technologies/IR2136SPBF/IR2136SPBF-ND/856515?utm_source=snapeda&utm_medium=aggregator&utm_campaign=symbol"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "MF"; Value = "Infineon"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "MP"; Value = "IR2136SPBF"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package"; Value = "SOIC-28 Infineon"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "SnapEDA_Link"; Value = "https://www.snapeda.com/parts/IR2136SPBF/Infineon%20Technologies/view-part/559407/?ref=snap"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = ""; VariantName = "[No Variations]"
Added Component: Designator=VD?(DO-201AD)
Add component (AddParameter): Name = "ValueCurrent"; Value = "5А/250А"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ValueDescription"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ValueManufacturer"; Value = "Китай"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ValueManufacturerPartNumber"; Value = "SR560"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ValueMaxReverseVoltage"; Value = "60В"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ValuePackage"; Value = "DO-201AD"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ValueType"; Value = "SR560"; VariantName = "[No Variations]"
Added Component: Designator=VD?(DO-201AD)
Add component (AddParameter): Name = "ValueCurrent"; Value = "5А/250А"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ValueDescription"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ValueManufacturer"; Value = "Китай"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ValueManufacturerPartNumber"; Value = "SR560"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ValueMaxReverseVoltage"; Value = "60В"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ValuePackage"; Value = "DO-201AD"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ValueType"; Value = "SR560"; VariantName = "[No Variations]"
Added Component: Designator=VD?(DO-201AD)
Add component (AddParameter): Name = "ValueCurrent"; Value = "5А/250А"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ValueDescription"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ValueManufacturer"; Value = "Китай"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ValueManufacturerPartNumber"; Value = "SR560"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ValueMaxReverseVoltage"; Value = "60В"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ValuePackage"; Value = "DO-201AD"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ValueType"; Value = "SR560"; VariantName = "[No Variations]"
Added Member To Class: ClassName=EngineControlCircuitSCH_Boyko Member=Component C?
Added Member To Class: ClassName=EngineControlCircuitSCH_Boyko Member=Component C?
Added Member To Class: ClassName=EngineControlCircuitSCH_Boyko Member=Component C?
Added Member To Class: ClassName=EngineControlCircuitSCH_Boyko Member=Component DD2 IR2136SPBF
Added Member To Class: ClassName=EngineControlCircuitSCH_Boyko Member=Component VD? SR560
Added Member To Class: ClassName=EngineControlCircuitSCH_Boyko Member=Component VD? SR560
Added Member To Class: ClassName=EngineControlCircuitSCH_Boyko Member=Component VD? SR560
Added Room: Name=EngineControlCircuitSCH_Boyko
